Name,City,State,Zip,"Type Detailed*",Private,Operator,"Current Guaranteed Minimum","Average Daily Population","Current as of**","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"ADAMS COUNTY DET CENTER",NATCHEZ,MS,39120,DIGSA,TRUE,CORECIVIC,"1,100","2,169",08/04/2025,31.527752,-91.307025,1,place,,,"Natchez, MS 39120",,,,,Natchez,MS,"Adams County",39120,US,"TIGER/Line® dataset from the US Census Bureau"
"STEWART DETENTION CENTER",LUMPKIN,GA,31815,DIGSA,TRUE,CORECIVIC,"1,600","1,892",08/04/2025,32.069538,-84.728093,1,place,,,"Lumpkin, GA 31815",,,,,Lumpkin,GA,"Stewart County",31815,US,"TIGER/Line® dataset from the US Census Bureau"
"SOUTH TEXAS ICE PROCESSING CENTER",PEARSALL,TX,78061,CDF,TRUE,GEO,"1,350","1,679",08/04/2025,28.867782,-99.108227,1,place,,,"Pearsall, TX 78061",,,,,Pearsall,TX,"Frio County",78061,US,"TIGER/Line® dataset from the US Census Bureau"
"WINN CORRECTIONAL CENTER",WINNFIELD,LA,71483,DIGSA,TRUE,LASALLE,946,"1,555",08/04/2025,31.914948,-92.669269,1,place,,,"Winnfield, LA 71483",,,,,Winnfield,LA,"Winn Parish",71483,US,"TIGER/Line® dataset from the US Census Bureau"
"ELOY FEDERAL CONTRACT FACILITY",ELOY,AZ,85131,DIGSA,TRUE,CORECIVIC,900,"1,395",08/04/2025,32.755415,-111.547272,0.92,street_center,"E Eloy St",,"Eloy, AZ 85131",,"E Eloy St",,,Eloy,AZ,"Pinal County",85131,US,"TIGER/Line® dataset from the US Census Bureau"
"MOSHANNON VALLEY PROCESSING CENTER",PHILIPSBURG,PA,16866,DIGSA,TRUE,GEO,800,"1,374",08/04/2025,40.90297,-78.226134,1,street_center,"Moshannon St",,"Philipsburg, PA 16866",,"Moshannon St",,,Philipsburg,PA,"Centre County",16866,US,"TIGER/Line® dataset from the US Census Bureau"
"OTAY MESA DETENTION CENTER","SAN DIEGO",CA,92154,CDF,TRUE,CORECIVIC,750,"1,366",08/04/2025,32.568251,-116.995069,1,street_center,"Otay Mesa Rd",,"San Diego, CA 92154",,"Otay Mesa Rd",,,"San Diego",CA,"San Diego County",92154,US,"TIGER/Line® dataset from the US Census Bureau"
"MONTGOMERY ICE PROCESSING CENTER",CONROE,TX,77301,CDF,TRUE,GEO,750,"1,217",08/04/2025,30.309332,-95.463339,1,street_center,"Montgomery Dr",,"Conroe, TX 77301",,"Montgomery Dr",,,Conroe,TX,"Montgomery County",77301,US,"TIGER/Line® dataset from the US Census Bureau"
"CENTRAL LOUISIANA ICE PROCESSING CENTER (CLIPC)",JENA,LA,71342,DIGSA,TRUE,GEO,"1,170","1,173",08/04/2025,31.60603,-92.140733,1,place,,,"Jena, LA 71342",,,,,Jena,LA,"Lasalle Parish",71342,US,"TIGER/Line® dataset from the US Census Bureau"
"DENVER CONTRACT DETENTION FACILITY",AURORA,CO,80010,CDF,TRUE,GEO,600,"1,173",08/04/2025,39.739249,-104.862881,1,place,,,"Aurora, CO 80010",,,,,Aurora,CO,"Arapahoe County",80010,US,"TIGER/Line® dataset from the US Census Bureau"
"NORTHWEST ICE PROCESSSING CENTER",TACOMA,WA,98421,CDF,TRUE,GEO,"1,181","1,138",08/04/2025,47.254021,-122.400133,1,place,,,"Tacoma, WA 98421",,,,,Tacoma,WA,"Pierce County",98421,US,"TIGER/Line® dataset from the US Census Bureau"
"PORT ISABEL SPC","LOS FRESNOS",TX,78566,SPC,TRUE,AHTNA,650,"1,058",08/04/2025,26.003902,-97.419293,0.9,street_center,"Old Port Isabel Rd",,"Los Fresnos, TX 78566",,"Old Port Isabel Rd",,,"Los Fresnos",TX,"Cameron County",78566,US,"TIGER/Line® dataset from the US Census Bureau"
"JACKSON PARISH CORRECTIONAL CENTER",JONESBORO,LA,71251,DIGSA,FALSE,COUNTY,500,"1,055",08/04/2025,32.252007,-92.702812,1,street_center,"Jackson St",,"Jonesboro, LA 71251",,"Jackson St",,,Jonesboro,LA,"Jackson Parish",71251,US,"TIGER/Line® dataset from the US Census Bureau"
"BLUEBONNET DETENTION FACILITY",ANSON,TX,79501,DIGSA,TRUE,MTC,750,955,08/04/2025,32.765623,-99.854766,1,place,,,"Anson, TX 79501",,,,,Anson,TX,"Jones County",79501,US,"TIGER/Line® dataset from the US Census Bureau"
"KARNES COUNTY IMMIGRATION PROCESSING CENTER","KARNES CITY",TX,78118,DIGSA,TRUE,GEO,928,930,08/04/2025,28.886189,-97.894864,0.92,street_center,"N Karnes St",,"Karnes City, TX 78118",,"N Karnes St",,,"Karnes City",TX,"Karnes County",78118,US,"TIGER/Line® dataset from the US Census Bureau"
"RICHWOOD CORRECTIONAL CENTER",MONROE,LA,71202,DIGSA,TRUE,LASALLE,677,921,08/04/2025,32.386844,-92.072206,1,place,,,"Monroe, LA 71202",,,,,Monroe,LA,"Ouachita Parish",71202,US,"TIGER/Line® dataset from the US Census Bureau"
"KROME NORTH SERVICE PROCESSING CENTER",MIAMI,FL,33194,SPC,TRUE,AKIMA,450,915,08/04/2025,25.713939,-80.583619,0.5,place,,,"Miami, FL 33194",,,,,Miami,FL,"Miami-Dade County",33194,US,"TIGER/Line® dataset from the US Census Bureau"
"SOUTH LOUISIANA ICE PROCESSING CENTER",BASILE,LA,70515,DIGSA,TRUE,GEO,700,880,08/04/2025,30.47998,-92.611428,0.92,street_center,"La Louisiane Rd",,"Basile, LA 70515",,"La Louisiane Rd",,,Basile,LA,"Acadia Parish",70515,US,"TIGER/Line® dataset from the US Census Bureau"
"OTERO COUNTY PROCESSING CENTER",CHAPARRAL,NM,88081,DIGSA,TRUE,MTC,500,863,08/04/2025,32.002669,-106.390867,1,place,,,"Chaparral, NM 88081",,,,,Chaparral,NM,"Doña Ana County",88081,US,"TIGER/Line® dataset from the US Census Bureau"
