recipient_name,total_obligated_amount,Country,Address,County,City,State,Zip4 Code
"THE GEO GROUP, INC.",1285342369,USA,4955 TECHNOLOGY WAY,BOCA RATON,PALM BEACH,FL,334313367
"MVM, INC.",984933847.9,USA,44620 GUILFORD DR STE 150,ASHBURN,LOUDOUN,VA,201476063
B.I. INCORPORATED,918975237.5,USA,6265 GUNBARREL AVE STE B,BOULDER,BOULDER,CO,803015318
CLASSIC AIR CHARTER INC.,800164136.9,USA,3200 N RIVERSIDE DR,INDIALANTIC,BREVARD,FL,329034407
"CSI AVIATION, INC",588496544,USA,6006 REESE CREEK RD,KILLEEN,BELL,TX,765497160
"AKIMA GLOBAL SERVICES, LLC",434121758.4,USA,3901 OLD INTERNATIONAL AIRPORT RD STE 200-G,ANCHORAGE,ANCHORAGE,AK,99502
"CORECIVIC, INC.",416664253,USA,"5501 VIRGINIA WAY, STE 110",BRENTWOOD,WILLIAMSON,TN,370277684
PARAGON PROFESSIONAL SERVICES LLC,204507928.5,USA,3301 C ST,ANCHORAGE,ANCHORAGE,AK,995033958
INSERSO CORPORATION,199731260.7,USA,8180 GREENSBORO DR,MC LEAN,FAIRFAX,VA,221023878
DELOITTE CONSULTING LLP,190176446.2,USA,1919 N LYNN ST,ARLINGTON,ARLINGTON,VA,222091742
G4S SECURE SOLUTIONS (USA) INC.,160850516.8,USA,4200 WACKENHUT DR STE 100,PALM BEACH GARDENS,PALM BEACH,FL,334104243
"CACI, INC. - FEDERAL",155707924.8,USA,14370 NEWBROOK DRIVE,CHANTILLY,FAIRFAX,VA,201514206
BOOZ ALLEN HAMILTON INC,133699784.9,USA,8283 GREENSBORO DR,MC LEAN,FAIRFAX,VA,221023830
PALANTIR TECHNOLOGIES INC.,132893529.3,USA,100 HAMILTON AVE STE 300,PALO ALTO,SANTA CLARA,CA,943011651
"FAMILY ENDEAVORS, INC.",131385874.7,USA,6363 DE ZAVALA RD STE 200,SAN ANTONIO,BEXAR,TX,782492104
AKIMA INFRASTRUCTURE PROTECTION LLC,128080879.5,USA,2553 DULLES VIEW DR STE 700,HERNDON,FAIRFAX,VA,201715228
CAPGEMINI GOVERNMENT SOLUTIONS LLC,125325140.8,USA,1900 CAMPUS COMMONS DR #250,RESTON,FAIRFAX,VA,201911560
"STEAMPUNK, INC.",120961821.5,USA,1753 PINNACLE DR STE 900,MCLEAN,FAIRFAX,VA,221023844
"THE KACE COMPANY, LLC.",117932392.1,USA,44620 GUILFORD DR STE 150,ASHBURN,LOUDOUN,VA,201476063
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",108973297.1,USA,3150 FAIRVIEW PARK DR STE 100,FALLS CHURCH,FAIRFAX,VA,220424504
"FOUR POINTS TECHNOLOGY, L.L.C.",103242419.2,USA,13221 WOODLAND PARK RD,HERNDON,FAIRFAX,VA,201715505
TRIBALCO LLC,97215506.68,USA,7735 OLD GEORGETOWN RD FL 12,BETHESDA,MONTGOMERY,MD,208146193
"CACI NSS, LLC",93793572.25,USA,12021 SUNSET HILLS RD,RESTON,FAIRFAX,VA,201905854
FCN INC,90238774.55,USA,12501 ARDENNES AVE STE 101,ROCKVILLE,MONTGOMERY,MD,208521741
WIDEPOINT INTEGRATED SOLUTIONS CORP,90070318.97,USA,11250 WAPLES MILL RD STE 210,FAIRFAX,FAIRFAX,VA,220307400
MANAGEMENT & TRAINING CORPORATION,89390076.87,USA,500 N MARKET PL DR STE 100,CENTERVILLE,DAVIS,UT,840141711
DEV TECHNOLOGY GROUP INC,85975522.94,USA,11440 COMMERCE PARK DRIVE,RESTON,FAIRFAX,VA,201911544
"CACI-ISS, LLC",85715112.73,USA,14370 NEWBROOK DRIVE,CHANTILLY,FAIRFAX,VA,201512218
"PROCENTRIX, LLC",83024967.66,USA,2551 DULLES VIEW DR STE 600,HERNDON,FAIRFAX,VA,201716502
"SAVANTAGE FINANCIAL SERVICES, INC.",70920526.75,USA,2101 GAITHER RD STE 350,ROCKVILLE,MONTGOMERY,MD,208504074
"MOTOROLA SOLUTIONS, INC.",63465439.65,USA,809 PINNACLE DR STE G,LINTHICUM HEIGHTS,ANNE ARUNDEL,MD,210902535
"HARMONIA HOLDINGS GROUP, LLC",62679763.92,USA,2020 KRAFT DR STE 2400,BLACKSBURG,MONTGOMERY,VA,240606569
