Date,Open,High,Low,Close,Volume
08/15/2025,"20.63","21.10","20.40","20.82","951,006"
08/14/2025,"20.67","20.72","20.45","20.46","1,061,940"
08/13/2025,"20.72","20.88","20.30","20.66","994,198"
08/12/2025,"20.29","20.81","19.88","20.70","1,281,316"
08/11/2025,"20.57","20.65","19.95","20.19","895,735"
08/08/2025,"20.19","21.08","20.17","20.50","1,575,906"
08/07/2025,"21.53","21.65","19.92","20.00","2,005,693"
08/06/2025,"20.29","20.66","19.48","19.60","2,237,275"
08/05/2025,"19.72","20.16","19.52","20.11","736,445"
08/04/2025,"19.68","19.82","19.27","19.66","560,129"
08/01/2025,"19.98","19.98","19.45","19.61","705,375"
07/31/2025,"19.60","20.13","19.45","20.04","636,634"
07/30/2025,"19.96","20.13","19.59","19.80","568,086"
07/29/2025,"20.27","20.36","19.82","19.96","597,903"
07/28/2025,"20.66","20.66","20.10","20.12","972,955"
07/25/2025,"20.03","21.02","19.94","20.73","1,114,677"
07/24/2025,"19.92","20.07","19.65","19.97","886,590"
07/23/2025,"19.73","20.02","19.73","19.82","965,030"
07/22/2025,"20.17","20.61","19.73","19.73","1,166,059"
07/21/2025,"20.71","20.81","20.17","20.24","1,418,929"
07/18/2025,"21.37","21.47","20.77","20.81","1,442,360"
07/17/2025,"21.26","21.65","21.26","21.34","1,087,857"
07/16/2025,"21.33","21.86","21.22","21.40","923,046"
07/15/2025,"22.00","22.12","21.25","21.25","908,060"
07/14/2025,"21.99","22.30","21.90","22.09","986,403"
07/11/2025,"22.16","22.26","21.87","21.94","644,778"
07/10/2025,"22.16","22.40","22.05","22.23","722,692"
07/09/2025,"21.99","22.33","21.64","22.29","951,155"
07/08/2025,"22.48","22.48","21.63","22.06","1,211,966"
07/07/2025,"22.70","23.19","21.99","22.53","1,886,322"
07/03/2025,"21.15","21.73","20.92","21.68","772,824"
07/02/2025,"20.96","21.04","20.42","21.04","841,589"
07/01/2025,"21.07","21.55","20.54","21.06","1,066,988"
06/30/2025,"21.00","21.15","20.52","21.07","965,008"
06/27/2025,"20.61","20.86","20.37","20.77","1,393,250"
06/26/2025,"20.18","20.54","20.09","20.52","560,646"
06/25/2025,"20.42","20.50","20.08","20.10","445,876"
06/24/2025,"20.67","20.71","20.17","20.37","641,848"
06/23/2025,"20.54","20.58","20.09","20.49","649,380"
06/20/2025,"20.75","20.93","20.45","20.49","1,536,261"
06/18/2025,"20.35","20.66","20.20","20.65","810,330"
06/17/2025,"20.56","20.69","20.35","20.47","793,147"
06/16/2025,"20.77","20.99","20.51","20.73","1,095,805"
06/13/2025,"21.14","21.29","20.38","20.61","1,197,728"
06/12/2025,"21.43","21.63","21.30","21.48","1,157,719"
06/11/2025,"22.05","22.27","21.41","21.44","853,673"
06/10/2025,"22.40","22.42","21.82","21.84","815,981"
06/09/2025,"22.30","22.65","22.07","22.29","1,113,741"
06/06/2025,"21.78","22.07","21.62","21.98","572,368"
06/05/2025,"21.87","22.05","20.70","21.60","1,279,088"
06/04/2025,"21.88","22.04","21.64","22.00","658,287"
06/03/2025,"21.99","22.03","21.56","21.95","858,488"
06/02/2025,"21.84","22.25","21.82","21.92","744,736"
05/30/2025,"21.92","22.10","21.59","21.96","1,171,377"
05/29/2025,"21.91","21.98","21.66","21.92","505,365"
05/28/2025,"22.46","22.50","21.76","21.89","910,244"
05/27/2025,"22.19","22.50","22.04","22.42","957,843"
