Date,Open,High,Low,Close,Volume
08/15/2025,"21.06","21.18","20.66","21.01","2,601,250"
08/14/2025,"20.50","21.17","20.32","20.76","2,525,835"
08/13/2025,"20.82","20.95","20.24","20.64","2,622,199"
08/12/2025,"20.46","20.97","19.79","20.81","3,971,586"
08/11/2025,"21.44","21.72","20.04","20.25","6,107,829"
08/08/2025,"21.75","22.00","21.09","21.33","5,013,778"
08/07/2025,"22.96","23.21","21.32","21.50","8,067,059"
08/06/2025,"27.09","27.09","22.46","22.88","10,645,930"
08/05/2025,"24.99","26.05","24.74","25.84","3,320,251"
08/04/2025,"25.18","25.20","24.33","24.90","2,664,006"
08/01/2025,"25.42","25.68","24.80","25.00","2,333,562"
07/31/2025,"25.32","26.11","25.08","25.92","2,978,435"
07/30/2025,"25.63","25.88","25.11","25.45","2,611,275"
07/29/2025,"26.20","26.47","25.33","25.56","2,359,318"
07/28/2025,"25.60","26.31","25.45","26.02","2,587,654"
07/25/2025,"24.67","26.74","24.45","26.10","5,743,299"
07/24/2025,"24.26","24.88","23.72","24.55","3,709,775"
07/23/2025,"23.91","24.13","23.63","23.67","2,285,522"
07/22/2025,"24.14","24.89","23.56","23.67","2,572,684"
07/21/2025,"24.60","24.60","23.76","24.11","3,058,207"
07/18/2025,"25.29","25.54","24.46","24.52","3,054,665"
07/17/2025,"25.25","25.72","25.14","25.22","3,014,839"
07/16/2025,"25.13","25.95","25.00","25.51","2,281,294"
07/15/2025,"26.22","26.22","25.02","25.04","2,102,703"
07/14/2025,"25.82","26.39","25.82","26.30","1,855,364"
07/11/2025,"26.10","26.28","25.77","25.93","1,985,308"
07/10/2025,"26.10","26.63","25.82","26.13","1,817,495"
07/09/2025,"25.67","26.60","25.32","26.33","2,737,439"
07/08/2025,"26.32","26.40","25.31","25.84","3,842,658"
07/07/2025,"27.14","27.17","25.78","26.46","5,621,613"
07/03/2025,"24.88","25.44","24.60","25.32","1,786,290"
07/02/2025,"24.36","24.66","23.77","24.63","2,990,424"
07/01/2025,"23.85","25.03","23.33","24.49","3,681,254"
06/30/2025,"24.00","24.10","23.20","23.95","2,688,144"
06/27/2025,"23.41","24.00","23.15","23.78","6,803,455"
06/26/2025,"23.19","23.51","23.05","23.41","1,355,802"
06/25/2025,"23.55","23.61","23.08","23.11","2,083,301"
06/24/2025,"23.79","24.06","23.04","23.27","2,683,652"
06/23/2025,"23.50","23.63","22.73","23.45","2,627,376"
06/20/2025,"24.37","24.53","23.23","23.28","5,229,448"
06/18/2025,"24.00","24.31","23.75","24.17","1,908,386"
06/17/2025,"24.39","24.68","23.97","24.07","3,471,977"
06/16/2025,"24.82","25.27","24.58","24.90","2,991,989"
06/13/2025,"25.99","26.02","24.61","24.62","4,888,926"
06/12/2025,"26.00","26.53","25.81","26.52","2,086,813"
06/11/2025,"27.12","27.20","26.04","26.12","2,645,193"
06/10/2025,"27.01","27.17","26.31","26.96","2,104,166"
06/09/2025,"27.77","27.90","26.78","26.96","2,745,475"
06/06/2025,"26.46","27.02","26.12","26.95","1,915,338"
06/05/2025,"26.45","26.83","25.19","26.20","4,589,080"
06/04/2025,"26.84","27.10","26.42","26.79","1,332,027"
06/03/2025,"27.22","27.50","26.26","26.93","2,136,387"
06/02/2025,"27.20","27.88","26.66","27.08","1,895,729"
05/30/2025,"26.50","27.68","26.12","27.14","3,179,835"
