let geocoded_ice = 
`recipient_name,total_obligated_amount,Country,Address,County,City,State,"Zip4 Code","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"THE GEO GROUP, INC.",1285342369,USA,"4955 TECHNOLOGY WAY","BOCA RATON","PALM BEACH",FL,334313367,26.391754,-80.103172,1,rooftop,"4955 Technology Way",,"Boca Raton, FL 33431",4955,"Technology Way",,,"Boca Raton",FL,"Palm Beach County",33431,US,"Palm Beach (Public Domain Palm Beach County)"
"MVM, INC.",984933847.9,USA,"44620 GUILFORD DR STE 150",ASHBURN,LOUDOUN,VA,201476063,39.024362,-77.45658,1,rooftop,"44620 Guilford Dr","Ste 150","Ashburn, VA 20147",44620,"Guilford Dr",Ste,150,Ashburn,VA,"Loudoun County",20147,US,Loudoun
"B.I. INCORPORATED",918975237.5,USA,"6265 GUNBARREL AVE STE B",BOULDER,BOULDER,CO,803015318,40.062683,-105.20831,1,rooftop,"6265 Gunbarrel Ave","Ste B","Boulder, CO 80301",6265,"Gunbarrel Ave",Ste,B,Boulder,CO,"Boulder County",80301,US,"City of Boulder"
"CLASSIC AIR CHARTER INC.",800164136.9,USA,"3200 N RIVERSIDE DR",INDIALANTIC,BREVARD,FL,329034407,28.129023,-80.591581,1,rooftop,"3200 N Riverside Dr",,"Indialantic, FL 32903",3200,"N Riverside Dr",,,Indialantic,FL,"Brevard County",32903,US,"Brevard (Brevard County)"
"CSI AVIATION, INC",588496544,USA,"6006 REESE CREEK RD",KILLEEN,BELL,TX,765497160,31.059138,-97.820104,1,rooftop,"6006 Reese Creek Rd",,"Killeen, TX 76549",6006,"Reese Creek Rd",,,Killeen,TX,"Bell County",76549,US,"City of Killeen"
"AKIMA GLOBAL SERVICES, LLC",434121758.4,USA,"3901 OLD INTERNATIONAL AIRPORT RD STE 200-G",ANCHORAGE,ANCHORAGE,AK,99502,61.17435,-149.958304,1,rooftop,"3901 Old International Airport Rd","Ste 200-G","Anchorage, AK 99502",3901,"Old International Airport Rd",Ste,200-G,Anchorage,AK,"Anchorage Municipality",99502,US,"Anchorage (Municipality of Anchorage)"
"CORECIVIC, INC.",416664253,USA,"5501 VIRGINIA WAY, STE 110",BRENTWOOD,WILLIAMSON,TN,370277684,36.033234,-86.814546,1,rooftop,"5501 Virginia Way","Ste 110","Brentwood, TN 37027",5501,"Virginia Way",Ste,110,Brentwood,TN,"Williamson County",37027,US,"City of Brentwood"
"PARAGON PROFESSIONAL SERVICES LLC",204507928.5,USA,"3301 C ST",ANCHORAGE,ANCHORAGE,AK,995033958,61.1901,-149.88642,1,rooftop,"3301 C St",,"Anchorage, AK 99503",3301,"C St",,,Anchorage,AK,"Anchorage Municipality",99503,US,"Anchorage (Municipality of Anchorage)"
"INSERSO CORPORATION",199731260.7,USA,"8180 GREENSBORO DR","MC LEAN",FAIRFAX,VA,221023878,38.923653,-77.227639,1,rooftop,"8180 Greensboro Dr",,"Mc Lean, VA 22102",8180,"Greensboro Dr",,,"Mc Lean",VA,"Fairfax County",22102,US,Fairfax
"DELOITTE CONSULTING LLP",190176446.2,USA,"1919 N LYNN ST",ARLINGTON,ARLINGTON,VA,222091742,38.897578,-77.07047,1,rooftop,"1919 N Lynn St",,"Arlington, VA 22209",1919,"N Lynn St",,,Arlington,VA,"Arlington County",22209,US,Arlington
"G4S SECURE SOLUTIONS (USA) INC.",160850516.8,USA,"4200 WACKENHUT DR STE 100","PALM BEACH GARDENS","PALM BEACH",FL,334104243,26.836938,-80.097976,1,range_interpolation,"4200 Wackenhut Dr","Ste 100","West Palm Beach, FL 33410",4200,"Wackenhut Dr",Ste,100,"West Palm Beach",FL,"Palm Beach County",33410,US,"TIGER/Line® dataset from the US Census Bureau"
"CACI, INC. - FEDERAL",155707924.8,USA,"14370 NEWBROOK DRIVE",CHANTILLY,FAIRFAX,VA,201514206,38.876751,-77.445776,1,rooftop,"14370 Newbrook Dr",,"Chantilly, VA 20151",14370,"Newbrook Dr",,,Chantilly,VA,"Fairfax County",20151,US,Fairfax
"BOOZ ALLEN HAMILTON INC",133699784.9,USA,"8283 GREENSBORO DR","MC LEAN",FAIRFAX,VA,221023830,38.922403,-77.232125,1,rooftop,"8283 Greensboro Dr",,"Mc Lean, VA 22102",8283,"Greensboro Dr",,,"Mc Lean",VA,"Fairfax County",22102,US,Fairfax
"PALANTIR TECHNOLOGIES INC.",132893529.3,USA,"100 HAMILTON AVE STE 300","PALO ALTO","SANTA CLARA",CA,943011651,37.442629,-122.162176,1,rooftop,"100 Hamilton Ave","Ste 300","Palo Alto, CA 94301",100,"Hamilton Ave",Ste,300,"Palo Alto",CA,"Santa Clara County",94301,US,"Santa Clara (Santa Clara County)"
"FAMILY ENDEAVORS, INC.",131385874.7,USA,"6363 DE ZAVALA RD STE 200","SAN ANTONIO",BEXAR,TX,782492104,29.563451,-98.611369,1,rooftop,"6363 De Zavala Rd","Ste 200","San Antonio, TX 78249",6363,"De Zavala Rd",Ste,200,"San Antonio",TX,"Bexar County",78249,US,"City of San Antonio"
"AKIMA INFRASTRUCTURE PROTECTION LLC",128080879.5,USA,"2553 DULLES VIEW DR STE 700",HERNDON,FAIRFAX,VA,201715228,38.949426,-77.428299,1,rooftop,"2553 Dulles View Dr","Ste 700","Herndon, VA 20171",2553,"Dulles View Dr",Ste,700,Herndon,VA,"Fairfax County",20171,US,Fairfax
"CAPGEMINI GOVERNMENT SOLUTIONS LLC",125325140.8,USA,"1900 CAMPUS COMMONS DR #250",RESTON,FAIRFAX,VA,201911560,38.944742,-77.336834,1,rooftop,"1900 Campus Commons Dr","Ste 250","Reston, VA 20191",1900,"Campus Commons Dr",Ste,250,Reston,VA,"Fairfax County",20191,US,Fairfax
"STEAMPUNK, INC.",120961821.5,USA,"1753 PINNACLE DR STE 900",MCLEAN,FAIRFAX,VA,221023844,38.920724,-77.228488,1,rooftop,"1753 Pinnacle Dr","Ste 900","Mc Lean, VA 22102",1753,"Pinnacle Dr",Ste,900,"Mc Lean",VA,"Fairfax County",22102,US,Fairfax
"THE KACE COMPANY, LLC.",117932392.1,USA,"44620 GUILFORD DR STE 150",ASHBURN,LOUDOUN,VA,201476063,39.024362,-77.45658,1,rooftop,"44620 Guilford Dr","Ste 150","Ashburn, VA 20147",44620,"Guilford Dr",Ste,150,Ashburn,VA,"Loudoun County",20147,US,Loudoun
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",108973297.1,USA,"3150 FAIRVIEW PARK DR STE 100","FALLS CHURCH",FAIRFAX,VA,220424504,38.859085,-77.217743,1,rooftop,"3150 Fairview Park Dr","Ste 100","Falls Church, VA 22042",3150,"Fairview Park Dr",Ste,100,"Falls Church",VA,"Fairfax County",22042,US,Fairfax
"FOUR POINTS TECHNOLOGY, L.L.C.",103242419.2,USA,"13221 WOODLAND PARK RD",HERNDON,FAIRFAX,VA,201715505,38.952756,-77.402564,1,rooftop,"13221 Woodland Park Rd",,"Herndon, VA 20171",13221,"Woodland Park Rd",,,Herndon,VA,"Fairfax County",20171,US,Fairfax
"TRIBALCO LLC",97215506.68,USA,"7735 OLD GEORGETOWN RD FL 12",BETHESDA,MONTGOMERY,MD,208146193,38.987385,-77.098052,1,rooftop,"7735 Old Georgetown Rd","Fl 12","Bethesda, MD 20814",7735,"Old Georgetown Rd",Fl,12,Bethesda,MD,"Montgomery County",20814,US,Montgomery
